121
1  0 
 9.991600e-01  9.000000e-05 
 9.966500e-01  3.200000e-04 
 9.924700e-01  6.500000e-04 
 9.866300e-01  1.040000e-03 
 9.791700e-01  1.430000e-03 
 9.701100e-01  1.810000e-03 
 9.595000e-01  2.120000e-03 
 9.473800e-01  2.340000e-03 
 9.338200e-01  2.450000e-03 
 9.188900e-01  2.420000e-03 
 9.026500e-01  2.240000e-03 
 8.851800e-01  1.910000e-03 
 8.665600e-01  1.420000e-03 
 8.468700e-01  7.900000e-04 
 8.261800e-01  0 
 8.045700e-01  -9.200000e-04 
 7.821200e-01  -1.970000e-03 
 7.589300e-01  -3.130000e-03 
 7.350700e-01  -4.380000e-03 
 7.106200e-01  -5.700000e-03 
 6.856700e-01  -7.070000e-03 
 6.603000e-01  -8.440000e-03 
 6.345900e-01  -9.770000e-03 
 6.085300e-01  -1.099000e-02 
 5.821500e-01  -1.217000e-02 
 5.555300e-01  -1.331000e-02 
 5.287700e-01  -1.442000e-02 
 5.019300e-01  -1.551000e-02 
 4.751000e-01  -1.657000e-02 
 4.483800e-01  -1.759000e-02 
 4.218300e-01  -1.858000e-02 
 3.955300e-01  -1.951000e-02 
 3.695800e-01  -2.037000e-02 
 3.440300e-01  -2.117000e-02 
 3.189600e-01  -2.188000e-02 
 2.944500e-01  -2.249000e-02 
 2.705500e-01  -2.301000e-02 
 2.473500e-01  -2.340000e-02 
 2.248900e-01  -2.367000e-02 
 2.032500e-01  -2.379000e-02 
 1.824600e-01  -2.378000e-02 
 1.626000e-01  -2.360000e-02 
 1.437000e-01  -2.326000e-02 
 1.258000e-01  -2.276000e-02 
 1.089600e-01  -2.208000e-02 
 9.322000e-02  -2.122000e-02 
 7.859000e-02  -2.018000e-02 
 6.512000e-02  -1.897000e-02 
 5.284000e-02  -1.758000e-02 
 4.177000e-02  -1.603000e-02 
 3.194000e-02  -1.431000e-02 
 2.336000e-02  -1.243000e-02 
 1.606000e-02  -1.042000e-02 
 1.006000e-02  -8.270000e-03 
 5.370000e-03  -6.000000e-03 
 2.030000e-03  -3.680000e-03 
 2.000000e-04  -1.390000e-03 
 1.300000e-04  1.360000e-03 
 1.230000e-03  4.630000e-03 
 3.450000e-03  8.200000e-03 
 6.750000e-03  1.202000e-02 
 1.108000e-02  1.597000e-02 
 1.643000e-02  1.997000e-02 
 2.287000e-02  2.392000e-02 
 3.039000e-02  2.785000e-02 
 3.896000e-02  3.174000e-02 
 4.856000e-02  3.553000e-02 
 5.919000e-02  3.916000e-02 
 7.087000e-02  4.265000e-02 
 8.355000e-02  4.599000e-02 
 9.719000e-02  4.913000e-02 
 1.118000e-01  5.204000e-02 
 1.273800e-01  5.472000e-02 
 1.438600e-01  5.719000e-02 
 1.612000e-01  5.942000e-02 
 1.793900e-01  6.138000e-02 
 1.984100e-01  6.308000e-02 
 2.182000e-01  6.454000e-02 
 2.387100e-01  6.573000e-02 
 2.598900e-01  6.665000e-02 
 2.817300e-01  6.730000e-02 
 3.041500e-01  6.771000e-02 
 3.270900e-01  6.785000e-02 
 3.505000e-01  6.772000e-02 
 3.743600e-01  6.735000e-02 
 3.985900e-01  6.674000e-02 
 4.231100e-01  6.590000e-02 
 4.478800e-01  6.481000e-02 
 4.728600e-01  6.351000e-02 
 4.979600e-01  6.202000e-02 
 5.231200e-01  6.033000e-02 
 5.482800e-01  5.845000e-02 
 5.733800e-01  5.641000e-02 
 5.983600e-01  5.422000e-02 
 6.231300e-01  5.191000e-02 
 6.476500e-01  4.946000e-02 
 6.718500e-01  4.691000e-02 
 6.956600e-01  4.428000e-02 
 7.190200e-01  4.160000e-02 
 7.418500e-01  3.885000e-02 
 7.641200e-01  3.608000e-02 
 7.857400e-01  3.331000e-02 
 8.066400e-01  3.056000e-02 
 8.267700e-01  2.785000e-02 
 8.460600e-01  2.520000e-02 
 8.644300e-01  2.261000e-02 
 8.818400e-01  2.010000e-02 
 8.982200e-01  1.768000e-02 
 9.135200e-01  1.536000e-02 
 9.276800e-01  1.314000e-02 
 9.406500e-01  1.103000e-02 
 9.524000e-01  9.000000e-03 
 9.629400e-01  7.050000e-03 
 9.722900e-01  5.230000e-03 
 9.804000e-01  3.610000e-03 
 9.872300e-01  2.250000e-03 
 9.927000e-01  1.210000e-03 
 9.967100e-01  5.000000e-04 
 9.991700e-01  1.100000e-04 
 1  0 
 
